model,voltage_kv_mm,parameter,n,mle,se,lower_95,upper_95,log_likelihood
Equal sigma,100.3,mu,8,7.873560874872236,0.3658777599928406,7.156453642542079,8.590668107202394,
Equal sigma,122.4,mu,8,6.678110429230705,0.3658777599928406,5.961003196900548,7.395217661560863,
Equal sigma,157.1,mu,10,5.799013446934955,0.32725101711973786,5.157613239476168,6.440413654393742,
Equal sigma,219.0,mu,10,4.419005637793399,0.32725101711973786,3.777605430334612,5.060405845252186,
Equal sigma,361.4,mu,10,-0.18356406696004604,0.32725101711973786,-0.8249642744188329,0.4578361404987409,
Equal sigma,,sigma,46,1.034858580705127,0.10612113438978116,0.8268649793026209,1.242852182107633,-283.6052730354829
